county,population_count,cases,date
40299,9757,8815,11/6/21
40299,7986,2179,11/6/21
40245,2927,3445,11/6/21
40245,7137,2417,11/6/21
40245,3601,2415,11/6/21
40245,4405,3349,11/6/21
40245,34529,22980,11/6/21
40245,7332,6794,11/6/21
40067,1368,14,11/6/21
40067,6036,26,11/6/21
40023,1251,260,11/6/21
40023,627,260,11/6/21
40023,1145,966,11/6/21
40023,394,385,11/6/21
40023,751,581,11/6/21
40023,5372,3049,11/6/21
40023,1251,260,11/6/21
40023,627,260,11/6/21
40023,1145,966,11/6/21
40023,394,385,11/6/21
40023,751,581,11/6/21
40023,5372,3049,11/6/21
40041,326,343,11/6/21
40041,53,25,11/6/21
40041,379,368,11/6/21
40041,379,383,11/6/21
